model,size,nodes,edges,time,mem
CIM15,30812,4371,7722,0.344,4583
CIMLevelZero,1526,1167,1454,0.059,5891
cinematic,136,76,130,0.013,511
city1,25,15,18,0.007,158
city2,25,13,16,0.006,158
cityfurniture,313,24,24,0.034,2265
citygml,702,62,74,0.04,11339
cityobjectgroup,417,39,41,0.032,10244
CL,203,90,118,0.015,1020
claim,233,19,25,0.008,462
Class,25,1,0,0.006,8
ClassDiagram,75,42,63,0.01,49
classDomain,65,41,71,0.01,130
ClassicModels,97,77,120,0.011,375
classification,28,16,18,0.008,564
ClassMM,35,19,27,0.007,5
ClassModel,116,76,112,0.009,439
class_diagramm,78,49,72,0.01,972
class_diagramm_simple,25,17,16,0.007,4
class_diagramm_tgg_rule,55,22,21,0.008,53
client,83,84,91,0.011,497
Clientes,41,26,30,0.007,0
closures,23,8,8,0.007,50
cloud,16,8,9,0.005,512
CloudML,113,63,102,0.011,47
cm,154,54,72,0.009,128
cmd,112,24,35,0.008,47
cmengine,405,106,195,0.014,898
CML,178,1,0,0.005,0
cmsl,115,149,183,0.015,529
cmt.owl,114,88,204,0.012,544
Coaster,42,28,30,0.007,47
COBOL,88,64,86,0.009,416
Cocus.owl,199,164,345,0.014,1120
codeAssistStruts,289,58,74,0.012,52
codesyncjava,17,41,38,0.009,48
codesyncxml,23,7,11,0.008,750
Collaborations_Interactions_UML,64,48,101,0.01,53
CollaborativeMDEProcess,56,33,44,0.008,25
collaviz,110,43,66,0.011,52
collection,88,22,24,0.013,1018
com.ibm.commerce.catalog.facade.datatypes,7032,702,947,0.08,-45407
com.ibm.commerce.content.facade.datatypes,4020,395,545,0.058,15439
com.ibm.commerce.contract.facade.datatypes,417,41,54,0.036,12805
com.ibm.commerce.foundation.datatypes,1579,530,586,0.054,12932
com.ibm.commerce.giftcenter.facade.datatypes,1302,129,158,0.04,13965
com.ibm.commerce.infrastructure.facade.datatypes,1236,125,167,0.041,-26521
com.ibm.commerce.installment.facade.datatypes,1450,140,187,0.044,13692
com.ibm.commerce.inventory.facade.datatypes,1366,132,161,0.045,14956
com.ibm.commerce.marketing.facade.datatypes,5739,563,740,0.074,-23929
com.ibm.commerce.member.datatypes,734,74,83,0.037,12129
com.ibm.commerce.member.facade.datatypes,3125,337,431,0.054,14790
com.ibm.commerce.oagis9.datatypes.codelists,1471,282,281,0.017,-45445
com.ibm.commerce.oagis9.datatypes,22727,2361,3760,0.139,22448
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,729,72,71,0.012,1687
com.ibm.commerce.order.facade.datatypes,4369,464,583,0.051,15853
com.ibm.commerce.payment.datatypes,2097,219,289,0.044,-32745
com.ibm.commerce.price.facade.datatypes,2895,290,394,0.057,16999
com.ibm.commerce.promotion.facade.datatypes,1280,140,174,0.041,13349
com.ibm.commerce.search.facade.datatypes,557,56,74,0.037,-33271
com.ibm.commerce.store.facade.datatypes,854,82,104,0.035,13320
com.ibm.commerce.subscription.facade.datatypes,769,75,99,0.04,14446
com.ibm.commerce.wallet.facade.datatypes,1262,121,165,0.042,-33859
ComBE,168,67,89,0.007,95
ComDiag,26,14,23,0.005,267
Common,26,18,25,0.006,42
commonarchivecore,93,50,85,0.02,1547
CommonModeling,124,22,31,0.008,551
Company,93,59,86,0.008,495
CompanyStructure,27,15,21,0.008,23
compiler,34,33,42,0.007,61
CompleteGUIdancerComponentHierarchy,155,62,74,0.009,111
completemodel,46,18,18,0.007,534
CompleteOCLCST,88,41,56,0.016,55
component.bean,55,8,8,0.009,350
component.bpel,66,9,9,0.007,39
component.camel,96,14,16,0.016,4055
component.camel.quartz,112,15,16,0.009,534
component.camel.sql,122,17,18,0.008,506
component.clojure,57,8,8,0.006,17
component.common.selector,126,17,20,0.007,42
Component,56,8,7,0.007,417
component.hornetq,495,64,72,0.011,607
component.http,272,30,34,0.008,567
component.jca,387,54,75,0.01,551
component.remote,49,7,7,0.006,548
component.resteasy,264,29,33,0.009,420
component.soap,489,62,79,0.011,1094
componentCore,81,36,45,0.007,58
componentMapping,143,26,30,0.008,578
componentmodel,67,33,32,0.009,53
components,91,39,59,0.009,284
ComponentUML,28,1,0,0.005,551
component_instantiation,34,33,36,0.009,56
compose,153,48,79,0.008,449
compositeForm,64,26,39,0.01,995
com_hassanpur_cmpe235_adtouch_MainActivity2,98,49,94,0.008,570
concat,14,5,4,0.007,25
conceptmap,26,16,28,0.007,39
conceptmodel,25,12,16,0.005,22
ConcreteUI,11,24,21,0.007,39
ConditionModel,44,27,42,0.006,523
conference,40,20,33,0.006,41
Conference.owl,343,283,586,0.021,2106
Config,43,24,29,0.008,573
config.switchyard,804,103,141,0.014,438
config.transform,211,30,35,0.009,573
config.validate,204,28,34,0.008,570
configurator,78,32,45,0.006,495
confious.owl,450,377,779,0.025,2545
confOf.owl,516,433,876,0.033,3158
ConnectionErrors,18,8,8,0.008,529
Connectivity,1101,132,253,0.015,1117
connector-configuration,22,9,9,0.007,36
constraint,16,8,10,0.007,318
ConstraintPuzzler,58,29,56,0.008,36
Constraints,75,32,54,0.007,59
Contact,24,12,19,0.007,36
contacts,34,24,25,0.008,398
Content,357,69,104,0.011,626
contentfwk,720,345,662,0.026,1864
context,453,52,58,0.009,89
Contract,19,23,27,0.006,20
control,396,116,208,0.013,565
controller,16,8,8,0.006,549
ControllerUML,38,1,0,0.004,0
controlMinimal,20,9,10,0.006,22
COOPNMetaModel,1183,440,951,0.032,-43268
Copy of component.camel,1866,254,314,0.034,5439
Copy of library,73,21,33,0.008,547
Copy of Product,65,32,63,0.008,67
cor,22,16,14,0.006,66
CORBAComponent,60,39,83,0.009,67
core,41,24,32,0.01,957
CoreDsl,271,182,261,0.017,665
CoreThemes,12,71,69,0.01,94
CoroScore,113,82,106,0.01,641
Courses,34,21,24,0.007,32
cp1model,48,30,41,0.01,65
cp2model,38,22,31,0.008,547
cp3model,41,21,40,0.006,66
cpc,31,17,22,0.007,38
CPL,119,91,138,0.009,951
cplfm,61,41,67,0.012,91
CPNDefinition,29,16,23,0.011,290
CpnDsl,31,16,15,0.008,63
CPP,66,1,0,0.006,512
CPR,43,1,0,0.011,0
CPSM,2836,369,647,0.034,2239
CPSMnested,2846,368,646,0.025,2352
Cristal,34,18,33,0.007,17
crosswalk,300,140,211,0.015,1214
crossx,39,22,30,0.007,61
crs_dr.owl,551,460,935,0.031,3941
CSharp,56,42,63,0.008,607
CSM,59,40,84,0.008,61
CSS,88,66,63,0.012,94
CssDsl,134,80,120,0.013,633
CssExtDsl,144,89,140,0.013,423
CST,19,10,13,0.007,547
csv,72,47,62,0.01,98
CSVML,72,50,67,0.01,35
ctx,54,29,53,0.008,577
cucumberfeature,125,78,113,0.01,131
customer,225,33,38,0.007,381
customerBehaviour,57,37,54,0.007,547
customers,19,13,13,0.007,64
customsandwich,35,15,14,0.006,33
CWDataBase,21,10,10,0.008,353
CWM,3721,766,1519,0.049,5153
CWMCore,57,37,76,0.007,576
