model,size,nodes,edges,time,mem
raumschachmodell,35,19,20,0.005,42
rbac,80,45,74,0.008,501
rdal,289,150,239,0.012,1023
rdb,90,53,78,0.009,486
RDBMS,60,11,18,0.008,41
RDBMSMM,29,14,19,0.005,37
rdf,204,55,117,0.008,508
RDFS,104,57,115,0.01,513
Rdl,562,79,94,0.009,500
REAL,141,79,112,0.017,562
ReasoningResult,35,17,20,0.009,76
rebus,22,10,10,0.021,390
recoder,11,2,1,0.006,3
recommendation,44,6,5,0.006,52
reconresults,20,8,8,0.006,431
RecordMapper,34,20,25,0.005,43
RefiningTrace,70,81,91,0.009,260
Reflex,183,102,142,0.009,508
regiondefinition,145,105,110,0.011,-22486
Registry,78,32,35,0.007,78
regular_expressions,50,32,50,0.007,407
Relational,45,27,34,0.006,40
RelationalDBContent,30,15,28,0.005,469
RelationalDBSchema,30,16,30,0.006,5
RelationsToTraceClass,31,23,22,0.007,467
Relaxng,105,60,101,0.009,471
release0,30,14,29,0.006,40
release1,479,229,356,0.016,1616
Releng,50,29,41,0.01,43
reliability,68,30,47,0.008,428
reliabilityView,38,19,32,0.007,78
relief,535,49,61,0.03,10318
remusassignments,17,9,9,0.005,5
rental,90,66,83,0.008,178
rentalSample,147,45,68,0.008,72
rentalSansGmfAnnot,86,24,37,0.007,464
repo,59,27,34,0.007,37
repomodel,95,46,75,0.006,476
report,17,8,8,0.004,0
Repository,35,11,9,0.007,73
Reqtify,47,61,91,0.01,315
request,763,88,109,0.011,498
requirement,52,29,44,0.007,60
requirements,138,76,108,0.009,107
RequirementSourcesConf,9,3,2,0.006,426
RequisitePro,40,25,51,0.006,73
Resolute,114,95,141,0.009,502
resolutionmodel,43,23,29,0.006,75
resource,15,4,3,0.005,396
resourcedesc,28,12,23,0.008,0
resourcemanager,24,9,10,0.007,78
response,659,96,121,0.011,-23651
result,14,6,7,0.006,38
results,111,49,87,0.009,446
reusejava,11,4,3,0.005,6
review,39,23,27,0.007,509
rezept,265,259,300,0.016,754
RFCMapping,103,72,94,0.008,375
rfsm,62,45,63,0.007,510
rhs,32,14,16,0.007,38
RichStrings,58,33,63,0.008,443
riehle97,35,18,31,0.006,472
riehle97base,13,5,7,0.006,5
rif11a,424,402,484,0.022,1400
rif11a_xsd,3338,425,586,0.031,2840
rif12,338,143,233,0.014,657
RIFFWave,246,148,176,0.014,920
rif_11,3328,425,534,0.034,2463
risk,37,7,7,0.006,32
RmOdp,367,260,374,0.016,1363
robmod,78,44,62,0.009,318
robot,149,85,129,0.009,572
RobotMLLibraries,887,383,477,0.022,1922
RobotTask,108,52,76,0.009,160
Roco2,148,95,153,0.011,591
rok.core,80,6,7,0.007,35
rok,243,79,121,0.009,540
rolebinding,33,16,19,0.008,33
rolemetamodel,30,16,25,0.006,37
Room,457,264,438,0.018,1332
RooModel,108,43,47,0.009,-22977
RooScript,15,7,9,0.006,36
rooStructure,101,6,5,0.005,45
root,272,42,56,0.009,469
ros,116,78,96,0.011,505
rosResolutionModel,76,36,48,0.007,76
Route,42,25,30,0.008,482
roxgt,27,14,20,0.006,5
RoyalAndLoyal,261,110,193,0.011,571
RPG,107,36,58,0.009,473
RSS-2.0,104,85,113,0.011,530
RSS,99,38,50,0.009,489
Rss20,941,98,112,0.01,532
RtData-1,19,1,0,0.004,419
rule,47,35,37,0.006,469
ruleml,10,6,7,0.005,8
rules,12,3,2,0.006,34
rulescontext,43,12,13,0.006,550
ruleset,92,41,65,0.007,31
rules_core,38,23,40,0.006,464
RunHALL,665,381,717,0.027,2057
RuntimeMetadata,134,118,162,0.01,541
runway,95,65,91,0.01,549
S,57,34,52,0.008,470
SACM,676,305,504,0.021,1875
saem,432,326,508,0.019,1860
Saentity,30,15,14,0.006,188
SAG,26,12,18,0.006,426
Sal,127,71,111,0.009,503
salesystem,19,9,12,0.006,34
saltCore,243,74,148,0.009,505
saltSemantics,45,15,14,0.007,196
Saml,236,173,242,0.013,985
sample,70,41,54,0.008,462
SampleModel,20,3,2,0.005,44
samples,15,7,8,0.007,37
sandwich,28,17,27,0.007,5
sandwich_simple,27,17,28,0.007,75
Sass,8,17,15,0.006,2
SATELAPN,580,276,481,0.018,1363
sbp-designer,25,13,25,0.007,430
sbvrEclipse,881,689,1227,0.04,-18131
sbvrOMG,325,272,532,0.021,2080
SBVRvoc,263,201,318,0.015,1106
SCADE,538,664,1144,0.033,2957
Scala,109,70,116,0.009,437
scan,34,15,14,0.007,7
Scenario,22,60,58,0.009,983
ScenarioParticipant,115,70,115,0.01,122
scheduler,61,57,56,0.512,437
school,59,93,120,0.01,245
schoolIncqDerived,67,37,69,0.007,490
schoollibrary,13,6,6,0.005,45
Scilab,181,1,0,0.03,5
scl,4017,811,1045,0.038,4428
sco,58,67,78,0.01,-22961
scr-1.1,182,61,70,0.009,470
Screens,82,40,58,0.007,469
Scribble,102,60,81,0.008,76
Script,55,34,48,0.006,444
ScriptUIGraph,35,48,56,0.006,206
scrum,70,29,37,0.007,77
sculptorguimetamodel,114,73,108,0.009,610
sculptormetamodel,259,175,275,0.013,642
sd,39,19,32,0.007,44
sdb,125,28,39,0.006,433
sdbpmn,619,76,101,0.008,506
sdl,15,6,6,0.005,5
SDM,546,1,0,0.006,910
Seal,170,102,170,0.011,581
search,53,32,37,0.007,486
sec,61,29,41,0.007,39
secondarytablehibernate,52,6,5,0.006,427
SecureUML,43,1,0,0.005,39
SEE_Design,42,35,55,0.006,427
Segment,93,57,74,0.009,505
selflet,711,145,184,0.013,963
SelfletBehavior,51,31,51,0.007,39
SemanticDB,46,25,34,0.008,490
SeminarSchedulingSystem,42,59,82,0.009,465
sensor,227,29,36,0.008,557
sequence-diagram-notation,12,3,2,0.004,0
sequence-diagram,154,74,148,0.012,495
sequence,39,20,33,0.009,1087
Sequencemodel,101,61,99,0.009,508
sequencer,32,15,16,0.008,392
sequence_diagram,89,47,78,0.008,126
Series,10,4,3,0.009,394
server-configuration,57,27,35,0.008,41
server,50,33,49,0.009,476
ServerGeneratorLanguage,46,29,46,0.008,139
Service,32,15,27,0.005,428
ServiceData,71,47,57,0.007,41
ServiceDsl,71,44,75,0.006,93
ServiceFeatureModel,174,97,127,0.01,508
services,54,30,37,0.007,469
settings,136,35,65,0.008,477
setup,105,58,97,0.009,472
sgraph,126,63,108,0.263,591
shapes,38,21,29,0.006,430
SharedPreferencesModel,42,27,34,0.006,46
Sharengo,34,20,33,0.007,78
SIDL,69,40,63,0.008,82
sigkdd.owl,1398,1245,2546,0.09,-7564
SigmaxApp,70,33,45,0.007,80
SignalFlow,52,35,75,0.008,489
signature_and_call,35,12,18,0.005,6
SimpleAirlineDomain,48,33,51,0.006,505
SimpleAntlr,70,39,63,0.008,80
SimpleExpressions,40,21,34,0.006,493
SimpleGMF,13,5,5,0.005,6
simpleGraph,44,24,37,0.005,43
simplegui,22,12,21,0.006,460
SimpleIDE,17,7,7,0.006,5
SimpleImperative,27,13,20,0.006,79
SimpleJava,22,12,19,0.007,361
SimpleLanguage,69,37,55,0.007,489
simplemap,127,46,70,0.01,80
simplemath,45,23,37,0.007,450
simpleModel,9,4,4,0.006,35
SimplePDL,36,21,34,0.006,449
simplerailctrl,162,131,151,0.01,578
SimpleSBVR,88,60,116,0.009,487
SimpleUML,28,12,16,0.006,74
simpleweave,30,14,21,0.006,0
SimplifiedJMLModel,23,11,12,0.006,425
simTL4J,1213,407,855,0.026,-21271
Simulation,155,86,109,0.009,516
Simulator,122,67,102,0.009,520
SimulinkStateFlow,80,57,92,0.009,393
SiSiPNML,17,7,6,0.004,44
sitacCtrl,33,66,75,0.009,492
sitacView,59,36,58,0.006,79
Site,198,44,72,0.006,75
sketch,24,11,11,0.005,450
SL,334,192,306,0.017,1132
sla,51,25,33,0.006,461
sla_back,50,30,45,0.004,67
smach,44,39,51,0.007,449
SmachDSL,40,25,31,0.006,80
SmallJava,99,62,103,0.007,495
smartdesigner,40,19,25,0.005,32
SmartHouse,310,82,124,0.011,555
smil20,421,143,150,0.012,1140
sml,103,58,104,0.009,77
smm,205,113,218,0.012,594
sm_mm_1,102,46,84,0.012,501
soa,107,66,89,0.011,484
SoaModel,161,62,100,0.011,509
socnet,29,16,19,0.005,39
SoftwareQualityControl,55,38,52,0.006,492
sokan,133,39,50,0.007,493
sokanui,46,19,27,0.005,39
SonarModelBusPlugin,39,23,29,0.006,39
sooml,128,66,118,0.008,593
soopl,128,67,120,0.009,484
SortMerge,20,10,11,0.005,64
SOS,182,96,164,0.01,559
soy,48,24,40,0.007,425
Space,124,66,102,0.009,527
sparql,542,284,554,0.02,2095
Spec,107,140,179,0.011,604
SpecDa,94,59,71,0.009,499
specification,90,53,91,0.01,75
Specio,98,62,85,0.01,105
Specio2,126,75,74,0.01,453
SPEM,52,1,0,0.004,452
spem2,525,300,521,0.019,1608
spielfeld,83,35,49,0.007,450
Spl,353,1,0,0.004,449
spm,50,43,58,0.03,-23891
spray,143,83,137,0.011,534
spreadsheet,24,11,19,0.007,38
spreadsheetModified,49,16,25,0.007,455
SQLdatabase,33,46,42,0.007,38
SQLDDL,65,1,0,0.003,483
SQLDML,94,1,0,0.003,48
SqlDSL,89,64,82,0.009,490
SqliteModel,470,291,466,0.018,1699
sqljava,42,18,18,0.006,388
SQLQueryModel,808,414,955,0.027,2919
SQLXMLQueryModel,466,207,373,0.016,1443
squelette,36,22,21,0.006,81
src,34,20,28,0.005,5
SRM,35,16,21,0.006,81
stakeholder,31,20,22,0.006,7
Standard,140,68,67,0.008,419
StandIo,79,50,59,0.013,484
State,41,24,36,0.007,442
StateChart,37,22,31,0.006,98
Statecharts,79,14,27,0.007,412
StateDiagram,24,10,12,0.006,32
StateMachine,37,19,36,0.007,43
StateMachineActions,44,24,32,0.008,442
StateMachineTriggers,29,16,20,0.005,62
statemachine_metamodel,12,8,10,0.007,3
StateMachine_mk2,49,25,45,0.005,485
Statemodel,47,27,37,0.008,32
States,43,23,22,0.005,480
StateVariables,533,45,78,0.007,487
Statics,31,17,25,0.007,35
StaticScript,270,167,310,0.014,1472
statistical,133,41,71,0.008,89
stochsim,18,11,14,0.005,37
StoredScript,51,230,242,0.015,701
storymodel,92,51,63,0.009,490
strategy-agent-engine,16,5,4,0.006,6
strategymodel,22,34,32,0.007,500
streamdesc,58,27,32,0.005,38
string,9,3,2,0.005,466
StructuredText,59,32,31,0.006,75
struts,296,59,76,0.007,476
study,51,26,45,0.008,939
styles,66,18,23,0.006,38
subsumption,52,31,50,0.007,81
subtree,22,11,18,0.004,7
SUC,27,14,22,0.005,449
Suite,17,10,12,0.005,49
Survey,42,26,35,0.006,441
SVG,1518,750,1147,0.04,-19956
svgd,78,45,60,0.007,455
SvgPath,154,79,129,0.009,447
Swift,10,3,2,0.006,81
swml,61,37,50,0.007,449
SWRC,252,207,343,0.017,1098
swrl,90,55,80,0.009,493
swt,54,31,44,0.006,414
symbol,263,157,220,0.012,1114
sync,69,50,54,0.008,457
SyncCharts,207,130,217,0.012,567
syncchartsExtended,9,3,2,0.006,81
syntax.model,58,40,50,0.006,40
Synthesis-old,282,165,320,0.016,692
Synthesis,270,158,308,0.015,1012
SysML,285,126,143,0.013,995
SysMLdiff,26,10,16,0.007,0
system,64,22,37,0.007,452
T1,18,8,15,0.005,450
T3,8,4,3,0.006,0
T5,14,7,10,0.006,35
T6,20,10,17,0.005,41
Table,18,8,12,0.006,412
tableur_modifie,30,12,20,0.006,86
tableur_visitable,50,16,25,0.007,412
tableur_visitable_aspects,76,16,27,0.006,35
taglib,223,63,73,0.01,1029
tags,13,6,6,0.004,36
taipan,129,64,108,0.007,485
taipan_original,68,65,88,0.008,542
tar,27,164,168,0.013,634
TargetPlatform,28,16,18,0.006,47
task,60,34,58,0.007,383
taskmodel,279,164,250,0.016,1056
tasks,100,40,47,0.008,447
taste,82,55,84,0.008,542
taxonomy-builtin,8,5,4,0.006,5
tbool,20,8,7,0.005,41
tc60201,6195,812,1187,0.045,-18215
tcl,133,67,124,0.009,114
tdt4250,71,81,103,0.009,487
Techno,326,228,298,0.015,1169
TefkatTrace,32,172,173,0.014,594
teiidsqlmodel,14,5,8,0.006,42
telehash,100,32,33,0.016,390
template,27,15,15,0.007,41
templatecall,12,4,3,0.005,412
templateconcepts,20,10,13,0.006,41
texoExtensions,75,11,9,0.005,39
text,51,26,43,0.006,119
textadventure,32,18,27,0.008,411
TextContent,39,25,31,0.007,42
textdef,106,27,37,0.007,447
TextualPathExp,24,11,15,0.005,8
TextualWorkbench,307,217,319,0.037,1504
ThingDsl,14,7,9,0.007,3
thingml,331,183,357,0.016,1205
things,79,49,79,0.009,435
ThisDomain,17,8,11,0.006,2
ThreeJsWrapperDescriptionLanguage,74,45,60,0.008,109
threevaluedlogic,34,17,27,0.006,372
tigerstripe-core,328,179,244,0.014,678
tigerstripe,155,113,170,0.013,622
timedAutomata,408,269,436,0.02,1530
TimeLine,29,17,22,0.007,73
timetrack,41,23,27,0.005,369
timing-diagram,137,78,155,0.01,516
TJ,145,98,159,0.009,544
tm,514,111,178,0.011,1027
ToastBackendData,174,45,58,0.009,73
todo,18,9,10,0.005,372
ToDoListDiag,96,28,39,0.007,59
ToDoListPIM,107,37,55,0.007,487
toe,57,29,62,0.007,411
tokenflow,82,55,64,0.007,112
tomoparameters,132,69,80,0.009,427
tooldef,139,78,113,0.01,279
toolpalette,33,21,23,0.007,414
toone,92,14,18,0.004,411
topology,246,21,37,0.005,40
TortoiseShell,21,9,11,0.009,-22467
Total,9,172,170,0.011,331
tp2,99,41,51,0.006,409
tp3,139,37,54,0.007,410
tp4,206,50,71,0.009,125
tp5,172,30,43,0.006,411
tp6,209,48,67,0.006,450
TPTPStaticAnalysisUtilities,146,64,96,0.01,247
tracability,45,25,43,0.006,450
Trace,34,17,22,0.007,5
TraceEditor,53,27,48,0.005,453
tracemodel,174,79,141,0.01,523
tracermodel,17,10,12,0.006,371
traces,38,22,25,0.005,84
training,40,20,31,0.006,78
TransactionModel,16,12,11,0.005,82
transcript,42,23,37,0.011,942
transent,51,6,6,0.006,41
Transformation,194,112,194,0.011,695
TransformModel,66,37,54,0.007,445
transformr,100,48,91,0.007,445
transportation,753,83,99,0.031,10725
travel,63,38,62,0.007,409
treejava,11,8,7,0.004,91
TreeMapViewer,25,14,18,0.004,367
trigger,10,4,3,0.006,80
TroposActorConcept,39,32,81,0.006,406
TroposGoalAndPlanConcepts,58,1,0,0.004,147
TroposIntegratingActorConcept,12,8,13,0.005,420
trust,23,12,14,0.006,41
trustMetamodel,61,35,45,0.008,404
Turtle,81,48,79,0.01,82
tuscany-sca-1.1,263,33,39,0.008,-23343
tuscany,618,80,99,0.01,506
Tutorial,27,14,16,0.006,451
TypeConfiguration,86,47,72,0.008,471
TypeHelper,27,17,19,0.007,74
typemodel,43,25,32,0.006,38
types,10,4,3,0.007,404
typeslibrary,63,37,52,0.007,73
TypeSystem,261,151,150,0.013,1119
u2t.notation,20,6,5,0.006,41
ube,28,17,24,0.007,40
UCTE,2747,301,523,0.024,2057
UDDI_meta-model_fragment,17,13,17,0.006,39
UEML,69,51,122,0.007,683
UEMLExtended,110,84,207,0.011,552
UEMLExtensionCapturingAgents,78,59,140,0.008,471
UEMLExtensionCapturingSocialEffects,92,69,168,0.009,517
UEMLExtensionDynamicAspects,74,55,130,0.008,516
UEMLExtensionModelingAspects,77,57,136,0.01,501
uForthProgram,25,14,19,0.005,7
uForthRT,45,15,18,0.005,466
UI,88,54,77,0.008,503
uiextensionmodel,47,271,267,0.018,761
UIML-3.0,395,11,12,0.007,399
uisut,79,47,83,0.01,594
uitf,75,34,45,0.007,34
ULSWIG,100,63,90,0.008,521
uma,2856,348,462,0.022,2453
uml-trace,17,7,6,0.005,0
uml2compare,25,81,85,0.009,124
uml2diff,30,16,28,0.006,400
UML2EcoreControl,41,21,32,0.034,429
UML2EcoreMapping,54,26,39,0.029,426
UMLConfiguration,90,71,104,0.008,489
UMLConnectionPointReference,13,4,3,0.005,135
UMLDI-ActivityGraphs,252,25,42,0.008,447
UMLDI-Collaborations,274,1,0,0.005,372
UMLDI-ModelManagement,72,26,50,0.006,267
UMLDI-StateMachines,207,31,49,0.007,67
UMLDI-UseCases,165,26,54,0.008,64
UMLDI,611,1,0,0.005,401
UMLForOOClassModeling,63,41,58,0.007,318
UmlMessage,17,8,7,0.005,372
UML_metamodel_fragment,48,74,96,0.008,-23521
UML_UseCases,49,49,82,0.008,82
UML_withReuseContracts,29,16,30,0.006,44
Unbalanced,3362,407,617,0.031,2524
unifiedflat,977,394,484,0.02,1724
UnifiedOntologyLanguage,26,1,0,0.004,482
unit,115,14,15,0.006,33
university,106,67,101,0.008,508
UnixFS,20,1,0,0.005,5
Unql,30,17,19,0.004,57
Unresolved,17,8,9,0.006,5
Urban,135,79,111,0.011,392
urdad,360,157,292,0.014,1051
useCase,83,42,77,0.007,536
USECASE1,66,43,97,0.007,82
USECASE2,46,1,0,0.003,359
UseCaseInvariant,35,17,30,0.006,54
UserDefEvents,62,40,66,0.006,504
users,52,23,29,0.006,52
UserSpiele,149,20,21,0.006,408
UsiXML-task,60,44,64,0.009,78
util,27,10,11,0.006,481
utp,144,77,76,0.01,491
UTPPredefined,37,9,8,0.006,29
V1_oldcontrol,21,14,17,0.007,25
V2_accesscontrol,29,15,18,0.006,505
v41,1483,110,129,0.011,971
validator,7,4,2,0.006,0
validators,32,17,17,0.008,26
value,49,24,36,0.007,507
Values,21,17,37,0.006,29
variantmodel,45,22,25,0.007,481
vb,340,265,403,0.017,1292
vcproj,534,70,91,0.008,561
VDMapping,20,9,10,0.007,31
vdx,10219,1360,2340,0.095,13468
vegetation,511,44,48,0.031,-11448
verificationresult,17,7,6,0.006,52
version,29,16,21,0.004,439
VHDL,10,19,17,0.006,26
viewers,38,22,27,0.013,29
viewmapping,18,8,8,0.005,241
viewmodel,43,16,30,0.006,439
ViewPointAD,151,39,48,0.008,31
views,78,42,78,0.007,448
visGrid,2104,1819,1900,0.077,8672
visitable_spreadsheet,69,17,27,0.007,416
VisualDiagnostic,17,8,10,0.004,54
VisualizationDsl,35,78,84,0.008,103
VisualizationModel,41,19,27,0.005,441
Vm,12,37,37,0.008,440
VML,51,31,48,0.008,54
vogella,42,28,31,0.008,164
volere,19,12,16,0.006,418
VorkursDomain,90,64,77,0.008,483
wadl2,87,50,82,0.009,74
waqtsalat,94,36,36,0.008,408
warmok,82,47,68,0.007,463
waterbody,589,52,62,0.034,-8124
wcs100,2357,268,372,0.021,2284
wcs100_gml,1137,122,171,0.013,944
wcs100_xlink,143,25,26,0.007,271
WebApp,128,126,182,0.012,520
WebAppDSL,114,67,116,0.011,440
webapplication,538,158,240,0.015,988
WebApplications_AbstractModel,33,1,0,0.005,341
WebApplications_ConceptualModel,82,54,112,0.009,445
WebDSL,34,18,29,0.006,41
WebIDL,189,107,106,0.011,684
webpage,47,19,21,0.005,367
webproject,40,27,32,0.007,61
Webshop_Builder_3k_Model,191,84,125,0.008,565
web_service,31,17,23,0.007,374
WfMC,46,33,84,0.009,237
wfs,1845,209,270,0.017,1580
wfvv,20,8,8,0.005,25
widget,95,58,88,0.009,473
wikicontent,33,34,34,0.006,349
wikigen,30,14,15,0.008,371
WikiTable,35,20,26,0.006,35
Wolf,58,80,90,0.008,325
workaround,110,60,78,0.009,424
workbench,15,7,7,0.005,369
WorkDefinitions,38,23,52,0.006,38
workflow,90,52,95,0.008,437
workflowmodel,40,23,33,0.006,369
workingsets,25,9,11,0.006,36
workspaceModel,16,7,11,0.005,200
worldeditor,14,5,5,0.005,20
wpi,573,316,353,0.017,-18168
writers,15,6,6,0.006,278
WRSPM,10,3,2,0.005,29
WrspmDomainmodel,20,10,14,0.005,390
wsclient,111,25,29,0.007,437
wscommon,29,13,13,0.007,23
wsdlGrounding,48,125,131,0.012,544
WSLink,28,1,0,0.005,29
WSTest,47,73,76,0.01,112
WTIP_SimpleClass,28,16,22,0.006,410
WTIP_SimpleRDBMS,22,12,16,0.007,23
wysiwyg,30,13,16,0.039,149
xactor,17,6,6,0.029,369
xAL,5803,685,888,0.04,3968
XAML-Perspective,55,34,53,0.007,428
XAML-ResourceDictionary,61,38,52,0.006,382
XAnnotations,26,33,32,0.008,431
Xbase,241,103,166,0.011,723
XBNF,96,53,93,0.01,439
XBNFwithCardinality,15,8,12,0.007,408
Xconfig,21,11,13,0.005,18
Xdoc,155,87,145,0.01,874
xecore,9,1,0,0.003,24
xforms,90,35,52,0.007,166
xhtml,5806,707,1047,0.038,4583
xls,109,56,92,0.007,473
xmas,50,31,48,0.009,-19031
XMA_GUIDesigner,2444,642,984,0.033,3459
XMIWorkspace,16,6,6,0.008,49
XML,44,25,36,0.008,370
XMLNamespace,94,12,12,0.005,19
XMLType,518,133,133,0.012,436
xml_pois_structure,13,6,5,0.006,8
xmof,1014,245,431,0.017,1290
XMorphLanguage_abstractSyntax,138,1,0,0.004,341
XPDL-1.14,283,1,0,0.006,406
xpdl,442,71,93,0.009,422
xpdl1,3119,446,647,0.029,2486
Xpect,71,33,51,0.009,543
xpl,204,47,50,0.008,68
XQuery,78,52,114,0.01,636
XronosIr,33,15,14,0.007,54
XSchema,109,1,0,0.005,350
Xscript,23,12,11,0.006,17
XSD,650,359,584,0.022,2079
xtce,6375,849,1239,0.05,-11563
Xtend,142,68,88,0.009,409
Xtraitj,81,47,65,0.009,409
XTuring,37,23,29,0.008,258
Xtype,32,15,15,0.007,35
XUL-Interactorl,133,97,141,0.011,447
xwt09,5418,757,964,0.04,4722
xwt09_updating,5389,759,979,0.041,4675
XWTWorkBench,20,3,2,0.008,6
YasperEPNML114,1201,239,301,0.017,1337
yawl,56,36,50,0.008,33
Yucuk,13,6,6,0.007,387
yUML,85,59,91,0.008,384
Zapfmaster2000,189,121,177,0.014,749
ZestGraph,44,25,42,0.006,60
ZEvesProofProcess-v1.0.0,28,10,11,0.007,326
ZEvesProofProcess,29,10,11,0.008,61
Zoo,29,15,24,0.006,438
zvisclasses,36,20,22,0.007,61
_0,3188,342,443,0.021,-17264
µOCCAM,177,1,0,0.007,378
