model,nodes,edges,time,mem
com_hassanpur_cmpe235_adtouch_MainActivity2,49,94,11,583
concat,5,4,7,353
conceptmap,16,28,9,327
conceptmodel,12,16,9,361
ConcreteUI,24,21,9,371
ConditionModel,27,42,7,305
conference,20,33,8,337
Conference.owl,283,586,21,2202
Config,24,29,9,285
config.switchyard,103,141,11,986
config.transform,30,35,12,693
config.validate,28,34,10,695
configurator,32,45,9,337
confious.owl,377,779,23,3010
confOf.owl,433,876,25,3512
ConnectionErrors,8,8,14,465
Connectivity,132,253,14,1101
connector-configuration,9,9,9,328
constraint,8,10,8,291
ConstraintPuzzler,29,56,10,366
Constraints,32,54,7,578
Contact,12,19,8,327
contacts,24,25,8,336
Content,69,104,10,588
contentfwk,345,662,21,2162
context,52,58,10,513
Contract,23,27,11,294
control,116,208,11,880
controller,8,8,9,307
ControllerUML,1,0,8,268
controlMinimal,9,10,6,258
COOPNMetaModel,440,951,27,2846
Copy of component.camel,254,314,37,5662
Copy of library,21,33,10,333
Copy of Product,32,63,9,508
cor,16,14,9,569
CORBAComponent,39,83,9,624
core,24,32,13,962
CoreDsl,182,261,17,1098
CoreThemes,71,69,10,364
CoroScore,82,106,10,537
Courses,21,24,8,259
cp1model,30,41,9,293
cp2model,22,31,9,281
cp3model,21,40,9,328
cpc,17,22,11,281
CPL,91,138,11,803
cplfm,41,67,9,487
CPNDefinition,16,23,9,250
CpnDsl,16,15,9,326
CPP,1,0,7,277
CPR,1,0,5,308
CPSM,369,647,27,2685
CPSMnested,368,646,26,2661
Cristal,18,33,7,309
crosswalk,140,211,14,1048
crossx,22,30,10,283
crs_dr.owl,460,935,25,3926
CSharp,42,63,14,498
CSM,40,84,9,505
CSS,66,63,10,611
CssDsl,80,120,10,583
CssExtDsl,89,140,11,738
CST,10,13,12,246
csv,47,62,9,489
CSVML,50,67,10,550
ctx,29,53,8,509
cucumberfeature,78,113,12,601
customer,33,38,9,567
customerBehaviour,37,54,10,520
customers,13,13,7,332
customsandwich,15,14,9,312
CWDataBase,10,10,6,251
