model,nodes,edges,time,mem
CssExtDsl,89,140,11,574
CST,10,13,8,255
csv,47,62,7,509
CSVML,50,67,10,521
ctx,29,53,9,282
cucumberfeature,78,113,10,558
customer,33,38,9,498
customerBehaviour,37,54,12,294
customers,13,13,8,260
customsandwich,15,14,7,264
CWDataBase,10,10,7,261
CWM,766,1519,43,5470
CWMCore,37,76,8,460
CWMRelationalData,1,0,7,229
CXF,83,91,12,721
c_sharp,436,803,25,2646
DAO,17,27,8,446
Daos,15,18,8,246
DaoTypes,30,39,9,455
data,136,266,14,1839
database,97,158,12,744
database_tgg_rule,25,24,7,257
DataContractDsl,63,115,9,503
DataMining,115,180,16,2806
dataset,80,96,9,520
DataType,1,0,5,231
datatypes,23,36,8,263
daum,96,140,12,736
DawnGenModel.emf,7,4,6,229
DB,44,50,10,472
db2emf,1,0,5,231
dbitem,89,88,11,527
dbl,319,605,19,2453
Dbmodel,144,172,12,787
dbprice,5,4,6,232
dbschema,51,59,8,475
dc,16,15,8,240
Dc6,28,38,10,266
ddic,148,168,12,978
DdlDsl,82,129,12,721
debug,8,7,10,231
decobat,94,102,12,727
DecoraDsl,108,170,12,752
DefaultName,183,230,15,1024
DefaultName1,18,26,10,252
definition,63,83,12,495
definitions,40,53,9,463
demo,19,23,10,245
Demo1,16,21,9,254
dependencies,50,70,10,483
DependenciesDsl,22,24,9,262
dependency,24,38,6,254
DependencyChain,36,49,9,463
DependencyDsl,44,55,7,472
depgraph,58,87,9,503
Deployment,13,18,9,246
DeploymentReport,141,205,13,984
derby,4,3,5,231
description,240,416,18,1496
descriptor,33,47,9,460
design2d,6,7,7,229
designNotes,6,5,8,228
DesignPatterns,65,69,10,689
DetailView,132,174,12,964
DeviceModelingLanguage,160,277,14,1098
DFA,95,106,11,535
dgraph,14,27,9,254
DGS,68,92,12,498
di1,49,59,8,672
diagnostic,12,13,6,243
diagram,3,2,8,231
diagramCompare,10,15,9,245
DiagramInterchange,75,133,10,703
diagramrt,32,55,7,461
DialogScript,110,167,24,752
die,22,26,6,245
Dime,155,245,13,998
directives,38,62,8,466
directory,95,119,10,529
discovery,25,28,8,452
DiVA,123,219,13,967
DiVA_visitor,127,230,15,1415
DMDL,96,125,9,529
doc,84,114,12,713
DocBook,387,560,25,2604
docbuilder,26,40,7,266
DocCompiler,56,112,10,686
doctrine,173,268,14,1019
document,38,59,10,847
documentation,26,41,8,268
DoDAF-OV5,111,201,13,766
DoDAF-SV4,126,241,13,982
DoDAF-SV5,104,203,11,764
DoDAF,153,309,15,1111
dom,2,1,5,231
Domain,75,81,11,320
Domainmodel,24,32,9,263
DomDsl,360,558,22,2193
Dot,15,24,7,254
DotNET_SystemReflection,1,0,6,231
downloadSiteSchema,28,39,10,454
dp,23,42,9,251
dpd,56,72,10,489
Droid,250,414,17,1366
drools,32,38,7,463
drules,30,34,9,287
ds,126,154,12,961
Dsl,187,317,16,1343
dsl15926,46,90,8,484
DslECharts,97,140,10,733
DSLModel,39,75,9,463
DSLTrans,100,166,12,744
DSML,82,122,10,703
DTD,104,167,10,744
dtdsl,18,20,7,239
DTInfo,27,32,11,269
dtmc,27,55,8,262
DTMP,1,0,7,228
dummy,20,30,9,255
DuplicationDetection,18,22,9,245
DXF,12,16,9,240
dynamics,866,1190,41,4797
dynamicui,8,9,7,231
e2,42,56,13,475
e4modelextension,6,6,8,229
EAI,11,15,8,242
eballing,124,131,12,554
EBC,29,28,9,260
ebnfmm,24,43,7,263
ebXML,94,162,13,745
EcdarText,247,447,16,1713
eclectic.frontend,431,772,27,2638
eclipsecon,35,47,9,272
EclipseLaunchConfigurations,19,32,10,252
eclipselink_orm,514,810,26,3042
EclipsePlugIn,35,57,11,461
ecorebinding,41,82,9,486
edas.owl,592,1192,35,5627
edatatypeColumn,6,5,7,227
editor,433,703,27,2606
editutil,38,37,9,267
EDP,44,68,11,449
education,15,20,10,236
EEFGen,34,44,9,452
efactory,46,65,9,464
efeature,7,6,7,226
EG,20,42,7,252
egis,13,17,9,242
ej-ast,272,521,20,1982
eJava,18,22,10,425
ejb,158,233,15,1171
ekaw.owl,670,1370,36,6871
electrical,17,31,9,254
element,3,2,7,410
elementRegistry,17,20,6,244
Elf,14,17,7,228
elrGrammar,32,51,10,452
em,26,25,7,261
embedded,18,22,8,245
embeddedid,7,7,9,228
emf,53,88,9,481
emf.uuid.library.example,11,16,7,228
emfacade,74,113,170,1055
emffrag,21,22,8,239
emffrag_internal,7,6,8,229
emfgenbug,7,6,8,225
emfprofileapplication,15,19,11,244
emftasks,33,36,10,264
emftools,11,11,8,244
EMOF,53,103,10,485
Employee,19,35,8,244
enactment,17,19,9,238
Entities,21,29,8,242
Entity,13,20,8,236
EntityDefinition,56,79,10,481
EntityLang,15,22,7,238
entityNote,3,2,6,228
entityrelation,40,66,10,458
enum,4,4,7,229
EnumLiterals,7,6,7,228
Enumliterals2,9,9,8,229
environment,96,176,13,722
eocl,3,2,6,228
Epatch,51,75,10,468
epc,37,79,11,465
Epk,62,119,8,494
Epla2,25,40,7,254
epn,133,199,15,949
epo2,44,62,8,452
EQN,26,55,11,446
EqualMM,26,56,11,439
Equipment,419,672,24,2915
ER,13,17,7,244
Erdiagram,45,73,11,458
erlang,291,494,20,1813
errorannex,111,164,13,734
esb,277,365,15,1335
eshop,22,26,8,251
ESMF,405,703,23,2713
