model,nodes,edges,time,mem
CWM,766,1519,38,5455
CWMCore,37,76,9,479
CWMRelationalData,1,0,5,229
CXF,83,91,9,719
c_sharp,436,803,25,2647
DAO,17,27,7,440
Daos,15,18,9,257
DaoTypes,30,39,8,469
data,136,266,21,1829
database,97,158,13,745
database_tgg_rule,25,24,7,255
DataContractDsl,63,115,10,517
DataMining,115,180,14,2800
dataset,80,96,9,518
DataType,1,0,4,228
datatypes,23,36,9,248
daum,96,140,10,727
DawnGenModel.emf,7,4,7,238
DB,44,50,8,478
db2emf,1,0,7,229
dbitem,89,88,12,544
dbl,319,605,21,2443
Dbmodel,144,172,12,793
dbprice,5,4,7,239
dbschema,51,59,9,478
dc,16,15,7,245
Dc6,28,38,7,264
ddic,148,168,11,969
DdlDsl,82,129,9,725
debug,8,7,6,238
decobat,94,102,9,736
DecoraDsl,108,170,11,757
DefaultName,183,230,13,1023
DefaultName1,18,26,7,248
definition,63,83,9,506
definitions,40,53,6,479
demo,19,23,6,257
Demo1,16,21,8,248
dependencies,50,70,7,478
DependenciesDsl,22,24,7,248
dependency,24,38,7,266
DependencyChain,36,49,7,476
DependencyDsl,44,55,7,475
depgraph,58,87,8,498
Deployment,13,18,8,254
DeploymentReport,141,205,14,988
derby,4,3,6,238
description,240,416,19,1523
descriptor,33,47,9,459
design2d,6,7,6,238
designNotes,6,5,5,238
DesignPatterns,65,69,10,700
DetailView,132,174,11,774
DeviceModelingLanguage,160,277,15,1101
DFA,95,106,9,525
dgraph,14,27,6,248
DGS,68,92,10,506
di1,49,59,9,677
diagnostic,12,13,6,236
diagram,3,2,7,239
diagramCompare,10,15,7,236
DiagramInterchange,75,133,9,719
diagramrt,32,55,7,459
DialogScript,110,167,10,757
die,22,26,8,258
Dime,155,245,13,1007
directives,38,62,8,459
directory,95,119,11,545
discovery,25,28,8,257
DiVA,123,219,12,968
DiVA_visitor,127,230,12,1432
DMDL,96,125,10,545
doc,84,114,9,727
DocBook,387,560,22,2598
docbuilder,26,40,8,264
DocCompiler,56,112,9,680
doctrine,173,268,15,1024
document,38,59,12,863
documentation,26,41,7,267
DoDAF-OV5,111,201,11,776
DoDAF-SV4,126,241,12,986
DoDAF-SV5,104,203,11,766
DoDAF,153,309,15,1113
dom,2,1,8,228
Domain,75,81,9,314
Domainmodel,24,32,9,258
DomDsl,360,558,21,2192
Dot,15,24,7,248
DotNET_SystemReflection,1,0,5,228
downloadSiteSchema,28,39,7,467
dp,23,42,7,264
dpd,56,72,9,498
Droid,250,414,16,1363
drools,32,38,8,468
