operation,metamodel,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
Delete,EventOrientedLanguage,mem,poly4,1.0,0.8308417353859149,0.7414515779540409,0.8664131387118411,0.8696265164258906,1.0,1.0,Delete_run_1.csv,linear
Delete,FlatQVT,time,poly2,0.7,0.9878977725385988,0.7188640106076064,0.9996192498515466,0.9999874511241671,1.0,1.0,Delete_run_2.csv,exponential
Delete,FlatQVT,mem,poly3,1.0,0.025385712496032813,-0.10062481035446268,0.4126016795114265,0.9989629908970318,1.0,1.0,Delete_run_5.csv,exponential
Delete,FractalItf,time,poly2,1.0,0.9644889553398749,0.5709998374539634,0.9978485140143811,0.9996933850590104,1.0,1.0,Delete_run_18.csv,exponential
Delete,FractalItf,mem,poly3,1.0,0.6091220778077701,0.3929019240612377,0.6605697661837142,0.9994002198271966,1.0,1.0,Delete_run_14.csv,exponential
Delete,Glsl,time,linear,0.8333333333333334,0.996641724630216,0.7155849430392608,0.9974664526026735,0.9975400383485196,1.0,1.0,Delete_run_1.csv,exponential
Delete,Glsl,mem,poly3,1.0,0.78626383274664,0.6214154222857329,0.8274448977968184,0.9996996207943186,1.0,1.0,Delete_run_25.csv,exponential
Delete,hockeyleague,time,linear,1.0,0.999005672140615,0.46611985857002963,0.9999738757141282,0.999976344991041,1.0,1.0,Delete_run_5.csv,exponential
Delete,hockeyleague,mem,poly3,0.9666666666666667,0.8225549150800856,0.5809508287363633,0.8405635869077932,0.9973274998201289,1.0,1.0,Delete_run_1.csv,exponential
Delete,Iptables,time,linear,1.0,0.9996414236154058,0.4749571393778596,0.9999835560662679,0.9999907301885771,1.0,1.0,Delete_run_2.csv,exponential
Delete,Iptables,mem,poly3,1.0,0.4412288499131082,0.2710115565827776,0.45328814755177604,0.9958801650667276,1.0,1.0,Delete_run_4.csv,exponential
Delete,java5,time,linear,0.7333333333333333,0.9955620233831652,0.694761238670591,0.9996095936969205,0.9999580494242836,1.0,1.0,Delete_run_23.csv,exponential
Delete,java5,mem,poly4,0.8333333333333334,0.24180159159747455,0.132277778455853,0.28090674538191635,0.9923432537236413,1.0,1.0,Delete_run_1.csv,exponential
Delete,JavaVMTypes,time,linear,0.7333333333333333,0.9969140119226275,0.6584848080782165,0.9996801968522634,0.9999338999416099,1.0,1.0,Delete_run_2.csv,exponential
Delete,JavaVMTypes,mem,poly3,1.0,0.7427475731723815,0.6775023829279309,0.7460969237964793,0.9997031311918065,1.0,1.0,Delete_run_28.csv,exponential
Delete,LLVM_IR,time,linear,1.0,0.999061498620702,0.5222682694590094,0.9993516005413546,0.9999233688263246,1.0,1.0,Delete_run_3.csv,exponential
Delete,LLVM_IR,mem,poly4,1.0,0.7623832054985703,0.6885971514705521,0.767612856272216,0.7685752658928972,1.0,1.0,Delete_run_1.csv,exponential
Delete,MDD,time,poly2,0.6333333333333333,0.9803677801396848,0.5707606270690451,0.9991388553353585,0.9999842603400008,1.0,1.0,Delete_run_1.csv,exponential
Delete,MDD,mem,poly3,1.0,0.1838852656551387,-0.016430186234192797,0.7009307563216541,0.9975608058762229,1.0,1.0,Delete_run_11.csv,exponential
Delete,modelica,time,linear,1.0,0.9986634196788141,0.39965739741898326,0.999947291581995,0.9999923543747424,1.0,1.0,Delete_run_2.csv,exponential
Delete,modelica,mem,poly3,1.0,0.6382729946844268,0.5378393964969672,0.6530152903541211,0.9987674259860309,1.0,1.0,Delete_run_9.csv,exponential
Delete,NetModel,time,linear,1.0,0.9978417746170122,0.32193146913375803,0.9999344242168086,0.9999988042526025,1.0,1.0,Delete_run_2.csv,exponential
Delete,NetModel,mem,poly4,0.6333333333333333,0.8035572652307666,0.7969582458599714,0.8304671964720742,0.9664721474729199,1.0,1.0,Delete_run_1.csv,exponential
Delete,OseeDsl,time,linear,0.9666666666666667,0.9988196265659037,0.47349687241466004,0.999901864317801,0.9999700710956294,1.0,1.0,Delete_run_1.csv,exponential
Delete,OseeDsl,mem,poly3,1.0,0.6912669063068466,0.33973435349774905,0.8011130409844577,0.9981983660351087,1.0,1.0,Delete_run_12.csv,exponential
Delete,reviews,time,poly2,1.0,0.9907120776087079,0.5450385167244101,0.9998850722465564,0.9999374977306471,1.0,1.0,Delete_run_1.csv,exponential
Delete,reviews,mem,poly3,1.0,0.32164779619582845,0.015176293176610697,0.669454904321238,0.9997843067187306,1.0,1.0,Delete_run_8.csv,exponential
Delete,RobotTask,time,linear,0.8333333333333334,0.9966168570123426,0.6422055131260365,0.9990746452976773,0.9999237817498766,1.0,1.0,Delete_run_16.csv,exponential
Delete,RobotTask,mem,poly4,0.8,0.5552878119319667,0.2809278975032016,0.8234939802758359,0.9778256521263045,1.0,1.0,Delete_run_1.csv,exponential
Delete,SqliteModel,time,linear,0.8333333333333334,0.997457214056599,0.5844412829485647,0.9999212922032779,0.9999680417367522,1.0,1.0,Delete_run_5.csv,exponential
Delete,SqliteModel,mem,poly3,1.0,0.7844090625882891,0.7029332626520627,0.7857318737270906,0.999024512851399,1.0,1.0,Delete_run_1.csv,exponential
Delete,StaticScript,time,linear,0.9666666666666667,0.9984828080795138,0.535951648362287,0.9991929992980169,0.9999298846525853,1.0,1.0,Delete_run_1.csv,exponential
Delete,StaticScript,mem,poly3,0.8666666666666667,0.7880270512051042,0.6929568004785955,0.7895756885745758,0.9973873673919372,1.0,1.0,Delete_run_27.csv,exponential
